"Date","Price","Open","High","Low","Vol.","Change %"
"10/28/2022","3,901.06","3,808.26","3,905.42","3,808.26","","2.46%"
"10/27/2022","3,807.30","3,834.69","3,859.95","3,803.79","","-0.61%"
"10/26/2022","3,830.60","3,825.97","3,886.15","3,824.07","","-0.74%"
"10/25/2022","3,859.11","3,799.44","3,862.85","3,799.44","","1.63%"
"10/24/2022","3,797.34","3,762.01","3,810.74","3,741.65","","1.19%"
"10/21/2022","3,752.75","3,657.10","3,757.89","3,647.42","","2.37%"
"10/20/2022","3,665.78","3,689.05","3,736.00","3,656.44","","-0.80%"
"10/19/2022","3,695.16","3,703.11","3,728.58","3,666.51","","-0.67%"
"10/18/2022","3,719.98","3,746.26","3,762.79","3,686.53","","1.14%"
"10/17/2022","3,677.95","3,638.65","3,689.73","3,638.65","","2.65%"
"10/14/2022","3,583.07","3,690.41","3,712.00","3,579.68","","-2.37%"
"10/13/2022","3,669.91","3,520.37","3,685.41","3,491.58","","2.60%"
"10/12/2022","3,577.03","3,590.83","3,608.34","3,573.86","","-0.33%"
"10/11/2022","3,588.84","3,595.86","3,640.66","3,568.45","","-0.65%"
"10/10/2022","3,612.39","3,647.51","3,652.17","3,588.10","","-0.75%"
"10/07/2022","3,639.66","3,706.74","3,706.74","3,620.73","","-2.80%"
"10/06/2022","3,744.52","3,771.97","3,797.93","3,739.22","","-1.02%"
"10/05/2022","3,783.28","3,753.25","3,806.91","3,722.66","","-0.20%"
"10/04/2022","3,790.93","3,726.46","3,791.92","3,726.46","","3.06%"
"10/03/2022","3,678.43","3,609.78","3,698.35","3,604.93","","2.59%"
"09/30/2022","3,585.62","3,633.48","3,671.44","3,584.13","","-1.51%"
"09/29/2022","3,640.47","3,687.01","3,687.01","3,610.40","","-2.11%"
"09/28/2022","3,719.04","3,651.94","3,736.74","3,640.61","","1.97%"
"09/27/2022","3,647.29","3,686.44","3,717.53","3,623.29","","-0.21%"
"09/26/2022","3,655.04","3,682.72","3,715.67","3,644.76","","-1.03%"
"09/23/2022","3,693.23","3,727.14","3,727.14","3,647.47","","-1.72%"
"09/22/2022","3,757.99","3,782.36","3,790.90","3,749.45","","-0.84%"
"09/21/2022","3,789.93","3,871.40","3,907.07","3,789.49","","-1.71%"
"09/20/2022","3,855.93","3,875.23","3,876.01","3,827.54","","-1.13%"
"09/19/2022","3,899.89","3,849.91","3,900.45","3,838.50","","0.69%"
"09/16/2022","3,873.33","3,880.95","3,880.95","3,837.08","","-0.72%"
"09/15/2022","3,901.35","3,932.41","3,959.14","3,888.28","","-1.13%"
"09/14/2022","3,946.01","3,940.73","3,961.94","3,912.18","","0.34%"
"09/13/2022","3,932.69","4,037.12","4,037.12","3,921.28","","-4.32%"
"09/12/2022","4,110.41","4,083.67","4,119.28","4,083.67","","1.06%"
"09/09/2022","4,067.36","4,022.94","4,076.81","4,022.94","","1.53%"
"09/08/2022","4,006.18","3,959.94","4,010.50","3,944.81","","0.66%"
"09/07/2022","3,979.87","3,909.43","3,987.89","3,906.03","","1.83%"
"09/06/2022","3,908.19","3,930.89","3,942.55","3,886.75","","-0.41%"
"09/02/2022","3,924.26","3,994.66","4,018.43","3,906.21","","-1.07%"
"09/01/2022","3,966.85","3,936.73","3,970.23","3,903.65","","0.30%"
"08/31/2022","3,955.00","4,000.67","4,015.37","3,954.53","","-0.78%"
"08/30/2022","3,986.16","4,041.25","4,044.98","3,965.21","","-1.10%"
"08/29/2022","4,030.61","4,034.58","4,062.99","4,017.42","","-0.67%"
"08/26/2022","4,057.66","4,198.74","4,203.04","4,057.66","","-3.37%"
"08/25/2022","4,199.12","4,153.26","4,200.54","4,147.59","","1.41%"
"08/24/2022","4,140.77","4,126.55","4,156.56","4,119.97","","0.29%"
"08/23/2022","4,128.73","4,133.09","4,159.77","4,124.03","","-0.22%"
"08/22/2022","4,137.99","4,195.08","4,195.08","4,129.86","","-2.14%"
"08/19/2022","4,228.48","4,266.31","4,266.31","4,218.70","","-1.29%"
"08/18/2022","4,283.74","4,273.13","4,292.53","4,261.98","","0.23%"
"08/17/2022","4,274.04","4,280.40","4,302.18","4,253.08","","-0.72%"
"08/16/2022","4,305.20","4,290.46","4,325.28","4,277.77","","0.19%"
"08/15/2022","4,297.14","4,269.37","4,301.79","4,256.90","","0.40%"
"08/12/2022","4,280.15","4,225.02","4,280.47","4,219.78","","1.73%"
"08/11/2022","4,207.27","4,227.40","4,257.91","4,201.41","","-0.07%"
"08/10/2022","4,210.24","4,181.02","4,211.03","4,177.26","","2.13%"
"08/09/2022","4,122.47","4,133.11","4,137.30","4,112.09","","-0.42%"
"08/08/2022","4,140.06","4,155.93","4,186.62","4,128.97","","-0.12%"
"08/05/2022","4,145.19","4,115.87","4,151.58","4,107.31","","-0.16%"
"08/04/2022","4,151.94","4,154.85","4,161.29","4,135.42","","-0.08%"
"08/03/2022","4,155.17","4,107.96","4,167.66","4,107.96","","1.56%"
"08/02/2022","4,091.19","4,104.21","4,140.47","4,079.81","","-0.67%"
"08/01/2022","4,118.63","4,112.38","4,144.95","4,096.02","","-0.28%"
"07/29/2022","4,130.29","4,087.33","4,140.15","4,079.22","","1.42%"
"07/28/2022","4,072.43","4,026.13","4,078.95","3,992.97","","1.21%"
"07/27/2022","4,023.61","3,951.43","4,039.56","3,951.43","","2.62%"
"07/26/2022","3,921.05","3,953.22","3,953.22","3,910.74","","-1.15%"
"07/25/2022","3,966.84","3,965.72","3,975.30","3,943.46","","0.13%"
"07/22/2022","3,961.63","3,998.43","4,012.44","3,938.86","","-0.93%"
"07/21/2022","3,998.95","3,955.47","3,999.29","3,927.64","","0.99%"
"07/20/2022","3,959.90","3,935.32","3,974.13","3,922.03","","0.59%"
"07/19/2022","3,936.69","3,860.73","3,939.81","3,860.73","","2.76%"
"07/18/2022","3,830.85","3,883.79","3,902.44","3,818.63","","-0.84%"
"07/15/2022","3,863.16","3,818.00","3,863.62","3,817.18","","1.92%"
"07/14/2022","3,790.38","3,763.99","3,796.41","3,721.56","","-0.30%"
"07/13/2022","3,801.78","3,779.67","3,829.44","3,759.07","","-0.45%"
"07/12/2022","3,818.80","3,851.95","3,873.41","3,802.36","","-0.92%"
"07/11/2022","3,854.43","3,880.94","3,880.94","3,847.22","","-1.15%"
"07/08/2022","3,899.38","3,888.26","3,918.50","3,869.34","","-0.08%"
"07/07/2022","3,902.62","3,858.85","3,910.63","3,858.85","","1.50%"
"07/06/2022","3,845.08","3,831.98","3,870.91","3,809.37","","0.36%"
"07/05/2022","3,831.39","3,792.61","3,832.19","3,742.06","","0.16%"
"07/01/2022","3,825.33","3,781.00","3,829.82","3,752.10","","1.06%"
"06/30/2022","3,785.38","3,785.99","3,818.99","3,738.67","","-0.88%"
"06/29/2022","3,818.83","3,825.09","3,836.50","3,799.02","","-0.07%"
"06/28/2022","3,821.55","3,913.00","3,945.86","3,820.14","","-2.01%"
"06/27/2022","3,900.11","3,920.76","3,927.72","3,889.66","","-0.30%"
"06/24/2022","3,911.74","3,821.75","3,913.65","3,821.75","","3.06%"
"06/23/2022","3,795.73","3,774.71","3,802.58","3,743.52","","0.95%"
"06/22/2022","3,759.89","3,733.89","3,801.79","3,717.69","","-0.13%"
"06/21/2022","3,764.79","3,715.31","3,779.65","3,715.31","","2.45%"
"06/17/2022","3,674.84","3,665.90","3,707.71","3,636.87","","0.22%"
"06/16/2022","3,666.77","3,728.18","3,728.18","3,639.77","","-3.25%"
"06/15/2022","3,789.99","3,764.05","3,837.56","3,722.30","","1.46%"
"06/14/2022","3,735.48","3,763.52","3,778.18","3,705.68","","-0.38%"
"06/13/2022","3,749.63","3,838.15","3,838.15","3,734.30","","-3.88%"
"06/10/2022","3,900.86","3,974.39","3,974.39","3,900.16","","-2.91%"
"06/09/2022","4,017.82","4,101.65","4,119.10","4,017.17","","-2.38%"
"06/08/2022","4,115.77","4,147.12","4,160.14","4,107.20","","-1.08%"
"06/07/2022","4,160.68","4,096.47","4,164.86","4,080.19","","0.95%"
"06/06/2022","4,121.43","4,134.72","4,168.78","4,109.18","","0.31%"
"06/03/2022","4,108.54","4,137.57","4,142.67","4,098.67","","-1.63%"
"06/02/2022","4,176.82","4,095.41","4,177.51","4,074.37","","1.84%"
"06/01/2022","4,101.23","4,149.78","4,166.54","4,073.85","","-0.75%"
"05/31/2022","4,132.15","4,151.09","4,168.34","4,104.88","","-0.63%"
"05/27/2022","4,158.24","4,077.43","4,158.49","4,077.43","","2.47%"
"05/26/2022","4,057.84","3,984.60","4,075.14","3,984.60","","1.99%"
"05/25/2022","3,978.73","3,929.59","3,999.33","3,925.03","","0.95%"
"05/24/2022","3,941.48","3,942.94","3,955.68","3,875.13","","-0.81%"
"05/23/2022","3,973.75","3,919.42","3,981.88","3,909.04","","1.86%"
"05/20/2022","3,901.36","3,927.76","3,943.42","3,810.32","","0.01%"
"05/19/2022","3,900.79","3,899.00","3,945.96","3,876.58","","-0.58%"
"05/18/2022","3,923.68","4,051.98","4,051.98","3,911.91","","-4.04%"
"05/17/2022","4,088.85","4,052.00","4,090.72","4,033.93","","2.02%"
"05/16/2022","4,008.01","4,013.02","4,046.46","3,983.99","","-0.39%"
"05/13/2022","4,023.89","3,963.90","4,038.88","3,963.90","","2.39%"
"05/12/2022","3,930.08","3,903.95","3,964.80","3,858.87","","-0.13%"
"05/11/2022","3,935.18","3,990.08","4,049.09","3,928.82","","-1.65%"
"05/10/2022","4,001.05","4,035.18","4,068.82","3,958.17","","0.25%"
"05/09/2022","3,991.24","4,081.27","4,081.27","3,975.48","","-3.20%"
"05/06/2022","4,123.34","4,128.17","4,157.69","4,067.91","","-0.70%"
"05/05/2022","4,152.38","4,255.50","4,256.39","4,105.51","","-3.44%"
"05/04/2022","4,300.17","4,181.18","4,307.66","4,148.91","","2.99%"
"05/03/2022","4,175.48","4,159.78","4,200.10","4,147.08","","0.48%"
"05/02/2022","4,155.38","4,130.61","4,169.81","4,062.51","","0.57%"
"04/29/2022","4,131.93","4,253.75","4,269.68","4,124.28","","-3.63%"
"04/28/2022","4,287.50","4,222.58","4,308.45","4,188.63","","2.47%"
"04/27/2022","4,183.96","4,186.52","4,240.71","4,162.90","","0.21%"
"04/26/2022","4,175.20","4,278.14","4,278.14","4,175.04","","-2.81%"
"04/25/2022","4,296.12","4,255.34","4,299.02","4,200.82","","0.57%"
"04/22/2022","4,271.78","4,385.83","4,385.83","4,267.62","","-2.77%"
"04/21/2022","4,393.66","4,489.17","4,512.94","4,384.47","","-1.48%"
"04/20/2022","4,459.45","4,472.26","4,488.29","4,448.76","","-0.06%"
"04/19/2022","4,462.21","4,390.63","4,471.03","4,390.63","","1.61%"
"04/18/2022","4,391.69","4,385.63","4,410.31","4,370.30","","-0.02%"
"04/14/2022","4,392.59","4,449.12","4,460.46","4,390.77","","-1.21%"
"04/13/2022","4,446.59","4,394.30","4,453.92","4,392.70","","1.12%"
"04/12/2022","4,397.45","4,437.59","4,471.00","4,381.34","","-0.34%"
"04/11/2022","4,412.53","4,462.64","4,464.35","4,408.38","","-1.69%"
"04/08/2022","4,488.28","4,494.15","4,520.41","4,474.60","","-0.27%"
"04/07/2022","4,500.21","4,474.65","4,521.16","4,450.30","","0.43%"
"04/06/2022","4,481.15","4,494.17","4,503.94","4,450.04","","-0.97%"
"04/05/2022","4,525.12","4,572.45","4,593.45","4,514.17","","-1.26%"
"04/04/2022","4,582.64","4,547.97","4,583.50","4,539.21","","0.81%"
"04/01/2022","4,545.86","4,540.32","4,548.70","4,507.57","","0.34%"
"03/31/2022","4,530.41","4,599.02","4,603.07","4,530.41","","-1.57%"
"03/30/2022","4,602.45","4,624.20","4,627.77","4,581.32","","-0.63%"
"03/29/2022","4,631.60","4,602.86","4,637.30","4,589.66","","1.23%"
"03/28/2022","4,575.52","4,541.09","4,575.65","4,517.69","","0.71%"
"03/25/2022","4,543.04","4,522.91","4,546.03","4,501.07","","0.51%"
"03/24/2022","4,520.16","4,469.98","4,520.58","4,465.17","","1.43%"
"03/23/2022","4,456.23","4,493.10","4,501.07","4,455.81","","-1.23%"
"03/22/2022","4,511.61","4,469.10","4,522.00","4,469.10","","1.13%"
"03/21/2022","4,461.18","4,462.40","4,481.75","4,424.30","","-0.04%"
"03/18/2022","4,463.09","4,407.34","4,465.40","4,390.57","","1.17%"
"03/17/2022","4,411.67","4,345.11","4,412.67","4,335.65","","1.23%"
"03/16/2022","4,357.95","4,288.14","4,358.90","4,251.99","","2.24%"
"03/15/2022","4,262.45","4,188.82","4,271.05","4,187.90","","2.14%"
"03/14/2022","4,173.11","4,202.75","4,247.57","4,161.72","","-0.74%"
"03/11/2022","4,204.31","4,279.50","4,291.01","4,200.49","","-1.30%"
"03/10/2022","4,259.52","4,252.55","4,268.28","4,209.80","","-0.43%"
"03/09/2022","4,277.88","4,223.10","4,299.40","4,223.10","","2.57%"
"03/08/2022","4,170.62","4,202.66","4,276.94","4,157.87","","-0.73%"
"03/07/2022","4,201.09","4,327.01","4,327.01","4,199.85","","-2.95%"
"03/04/2022","4,328.87","4,342.12","4,342.12","4,284.98","","-0.79%"
"03/03/2022","4,363.49","4,401.31","4,416.78","4,350.37","","-0.53%"
"03/02/2022","4,386.54","4,322.56","4,401.48","4,322.56","","1.86%"
"03/01/2022","4,306.26","4,363.14","4,378.45","4,279.54","","-1.54%"
"02/28/2022","4,373.79","4,354.17","4,388.84","4,315.12","","-0.25%"
"02/25/2022","4,384.62","4,298.38","4,385.34","4,286.83","","2.24%"
"02/24/2022","4,288.70","4,155.77","4,294.73","4,114.65","","1.50%"
"02/23/2022","4,225.50","4,324.93","4,341.51","4,221.51","","-1.84%"
"02/22/2022","4,304.74","4,332.74","4,362.12","4,267.11","","-1.01%"
"02/18/2022","4,348.87","4,384.57","4,394.60","4,327.22","","-0.72%"
"02/17/2022","4,380.26","4,456.06","4,456.06","4,373.81","","-2.12%"
"02/16/2022","4,475.01","4,455.75","4,489.55","4,429.68","","0.09%"
"02/15/2022","4,471.07","4,429.28","4,472.77","4,429.28","","1.58%"
"02/14/2022","4,401.67","4,412.61","4,426.22","4,364.84","","-0.38%"
"02/11/2022","4,418.64","4,506.27","4,526.33","4,401.41","","-1.90%"
"02/10/2022","4,504.06","4,553.24","4,588.92","4,484.31","","-1.81%"
"02/09/2022","4,587.18","4,547.00","4,590.03","4,547.00","","1.45%"
"02/08/2022","4,521.54","4,480.02","4,531.32","4,465.40","","0.84%"
"02/07/2022","4,483.87","4,505.75","4,521.86","4,471.47","","-0.37%"
"02/04/2022","4,500.54","4,482.79","4,539.66","4,451.50","","0.52%"
"02/03/2022","4,477.44","4,535.41","4,542.88","4,470.39","","-2.44%"
"02/02/2022","4,589.32","4,566.39","4,595.31","4,544.32","","0.94%"
"02/01/2022","4,546.54","4,519.57","4,550.49","4,483.53","","0.69%"
"01/31/2022","4,515.55","4,431.79","4,516.89","4,414.02","","1.89%"
"01/28/2022","4,431.85","4,336.19","4,432.72","4,292.46","","2.43%"
"01/27/2022","4,326.50","4,380.58","4,428.74","4,309.50","","-0.54%"
"01/26/2022","4,349.93","4,408.43","4,453.23","4,304.80","","-0.15%"
"01/25/2022","4,356.45","4,366.64","4,411.01","4,287.11","","-1.22%"
"01/24/2022","4,410.13","4,356.32","4,417.35","4,222.62","","0.28%"
"01/21/2022","4,397.93","4,471.38","4,494.52","4,395.34","","-1.89%"
"01/20/2022","4,482.73","4,547.35","4,602.11","4,477.95","","-1.10%"
"01/19/2022","4,532.76","4,588.03","4,611.55","4,530.20","","-0.97%"
"01/18/2022","4,577.34","4,632.24","4,632.24","4,568.70","","-1.83%"
"01/14/2022","4,662.85","4,637.99","4,665.13","4,614.75","","0.08%"
"01/13/2022","4,659.02","4,733.56","4,744.13","4,650.29","","-1.42%"
"01/12/2022","4,726.35","4,728.59","4,748.83","4,706.71","","0.28%"
"01/11/2022","4,713.07","4,669.14","4,714.13","4,638.27","","0.92%"
"01/10/2022","4,670.29","4,655.34","4,673.02","4,582.24","","-0.14%"
"01/07/2022","4,677.02","4,697.66","4,707.95","4,662.74","","-0.41%"
"01/06/2022","4,696.05","4,693.39","4,725.01","4,671.26","","-0.10%"
"01/05/2022","4,700.58","4,787.99","4,797.70","4,699.44","","-1.94%"
"01/04/2022","4,793.54","4,804.51","4,818.62","4,774.27","","-0.06%"
"01/03/2022","4,796.56","4,778.14","4,796.64","4,758.17","","0.64%"
"12/31/2021","4,766.18","4,775.21","4,786.83","4,765.75","","-0.26%"
"12/30/2021","4,778.73","4,794.23","4,808.93","4,775.33","","-0.30%"
"12/29/2021","4,793.06","4,788.64","4,804.06","4,778.08","","0.14%"
"12/28/2021","4,786.36","4,795.49","4,807.02","4,780.04","","-0.10%"
"12/27/2021","4,791.19","4,733.99","4,791.49","4,733.99","","1.38%"
"12/23/2021","4,725.78","4,703.96","4,740.74","4,703.96","","0.62%"
"12/22/2021","4,696.56","4,650.36","4,697.67","4,645.53","","1.02%"
"12/21/2021","4,649.23","4,594.96","4,651.14","4,583.16","","1.78%"
"12/20/2021","4,568.02","4,587.90","4,587.90","4,531.10","","-1.14%"
"12/17/2021","4,620.64","4,652.50","4,666.70","4,600.22","","-1.03%"
"12/16/2021","4,668.67","4,719.13","4,731.99","4,651.89","","-0.87%"
"12/15/2021","4,709.84","4,636.46","4,712.60","4,611.22","","1.63%"
"12/14/2021","4,634.09","4,642.99","4,660.47","4,606.52","","-0.75%"
"12/13/2021","4,669.15","4,710.30","4,710.30","4,667.60","","-0.91%"
"12/10/2021","4,712.02","4,687.64","4,713.57","4,670.24","","0.95%"
"12/09/2021","4,667.45","4,691.00","4,695.26","4,665.98","","-0.72%"
"12/08/2021","4,701.21","4,690.86","4,705.06","4,674.52","","0.31%"
"12/07/2021","4,686.75","4,631.97","4,694.04","4,631.97","","2.07%"
"12/06/2021","4,591.67","4,548.37","4,612.60","4,540.51","","1.17%"
"12/03/2021","4,538.43","4,589.49","4,608.03","4,495.12","","-0.84%"
"12/02/2021","4,577.10","4,504.73","4,595.46","4,504.73","","1.42%"
"12/01/2021","4,513.04","4,602.82","4,652.94","4,510.27","","-1.18%"
"11/30/2021","4,567.00","4,640.25","4,646.02","4,560.00","","-1.90%"
"11/29/2021","4,655.27","4,628.75","4,672.95","4,625.26","","1.32%"
"11/26/2021","4,594.62","4,664.63","4,664.63","4,585.43","","-2.27%"
"11/24/2021","4,701.46","4,675.78","4,702.87","4,659.89","","0.23%"
"11/23/2021","4,690.70","4,678.48","4,699.39","4,652.66","","0.17%"
"11/22/2021","4,682.95","4,712.00","4,743.83","4,682.17","","-0.32%"
"11/19/2021","4,697.96","4,708.44","4,717.75","4,694.22","","-0.18%"
"11/18/2021","4,706.64","4,700.72","4,708.75","4,672.78","","0.38%"
"11/17/2021","4,688.67","4,701.50","4,701.50","4,684.41","","-0.26%"
"11/16/2021","4,700.90","4,679.42","4,714.95","4,679.42","","0.39%"
"11/15/2021","4,682.81","4,689.30","4,697.42","4,672.86","","0.00%"
"11/12/2021","4,682.85","4,655.24","4,688.47","4,650.77","","0.72%"
"11/11/2021","4,649.27","4,659.39","4,664.55","4,648.31","","0.06%"
"11/10/2021","4,646.71","4,670.26","4,684.85","4,630.86","","-0.82%"
"11/09/2021","4,685.25","4,707.25","4,708.53","4,670.87","","-0.35%"
"11/08/2021","4,701.70","4,701.48","4,714.92","4,694.39","","0.09%"
"11/05/2021","4,697.53","4,699.26","4,718.50","4,681.32","","0.37%"
"11/04/2021","4,680.06","4,662.93","4,683.00","4,662.59","","0.42%"
"11/03/2021","4,660.57","4,630.65","4,663.46","4,621.19","","0.65%"
"11/02/2021","4,630.65","4,613.34","4,635.15","4,613.34","","0.37%"
"11/01/2021","4,613.67","4,610.62","4,620.34","4,595.06","","0.18%"
"10/29/2021","4,605.38","4,572.87","4,608.08","4,567.59","","0.19%"
"10/28/2021","4,596.42","4,562.84","4,597.55","4,562.84","","0.98%"
"10/27/2021","4,551.68","4,580.22","4,584.57","4,551.66","","-0.51%"
"10/26/2021","4,574.79","4,578.69","4,598.53","4,569.17","","0.18%"
"10/25/2021","4,566.48","4,553.69","4,572.62","4,537.36","","0.47%"
"10/22/2021","4,544.90","4,546.12","4,559.67","4,524.00","","-0.11%"
"10/21/2021","4,549.78","4,532.24","4,551.44","4,526.89","","0.30%"
"10/20/2021","4,536.19","4,524.42","4,540.87","4,524.40","","0.37%"
"10/19/2021","4,519.63","4,497.34","4,520.40","4,496.41","","0.74%"
"10/18/2021","4,486.48","4,463.72","4,488.75","4,447.47","","0.34%"
